level,held_out,n_test,n_classes_test,val_macro_f1,argmax_macro_f1,generic_macro_f1,species_macro_f1,delta_generic,delta_species,argmax_sp_recall,generic_sp_recall,species_sp_recall,argmax_sp_precision,generic_sp_precision,species_sp_precision,argmax_sp_f1,generic_sp_f1,species_sp_f1,argmax_inter_conf,generic_inter_conf,species_inter_conf,sp_n_rows
L1-binary,ECOSS_annot,752,2,0.8586371987779655,0.401145394920037,0.39993037889945104,0.38683688756117535,-0.001215016020585935,-0.014308507358861633,0.2811158798283262,0.24892703862660945,0.30042918454935624,1.0,1.0,1.0,0.4388609715242881,0.39862542955326463,0.46204620462046203,0.0,0.0,0.0,466
L1-binary,ALNITAK_CAVANILLES,5202,2,0.8686301029998116,0.5209808051231999,0.5064403348538166,0.518327030815068,-0.014540470269383321,-0.002653774308131851,0.09718969555035128,0.06440281030444965,0.12295081967213115,1.0,1.0,1.0,0.17716115261472787,0.12101210121012101,0.21897810218978103,0.0,0.0,0.0,854
L2-coarse,DOLPHINFREE,3290,2,0.9161892773367902,0.7523453822669111,0.8037380020464143,0.6474132745174749,0.05139261977950327,-0.10493210774943618,0.9365217391304348,0.8869565217391304,0.9643478260869566,1.0,1.0,1.0,0.9672204759766502,0.9400921658986175,0.981850376272687,0.0,0.0,0.0,1150
L2-coarse,DRYAD,6770,2,0.9031979623298263,0.6555981313111041,0.772346756061464,0.5842113049708748,0.11674862475035985,-0.0713868263402293,0.9098079561042524,0.8377914951989026,0.9214677640603567,1.0,1.0,1.0,0.9527742862273298,0.9117372644150028,0.9591290380153489,0.0,0.0,0.0,2916
L2-coarse,FREMANTLE,332,1,0.9243481445912489,0.8610634648370498,0.8289241622574955,0.932475884244373,-0.03213930257955422,0.07141241940732324,0.7560240963855421,0.7078313253012049,0.8734939759036144,1.0,1.0,1.0,0.8610634648370498,0.8289241622574955,0.932475884244373,0.0,0.0,0.0,332
L2-coarse,OLTREMARE,16860,2,0.9152577304954539,0.8187884034057612,0.8275360480925207,0.7953453390532403,0.008747644686759481,-0.02344306435252086,0.6749311294765841,0.6108815426997245,0.7272727272727273,1.0,1.0,1.0,0.805921052631579,0.758443779392903,0.8421052631578947,0.0,0.0,0.0,2904
L2-coarse,Adriatic_Sea,1180,2,0.9054807833602276,0.6706874631771528,0.4886133045767095,0.7224224224224225,-0.1820741586004433,0.05173495924526972,0.6348195329087049,0.36836518046709127,0.7101910828025477,1.0,1.0,1.0,0.7766233766233767,0.5384018619084562,0.8305400372439479,0.0,0.0,0.0,942
L2-coarse,DCLDE_2026,174538,2,0.7508409419448185,0.5018471003299148,0.5168420723905037,0.47545527755153966,0.014994972060588974,-0.026391822778375096,0.5565081120943953,0.5405143805309734,0.5846699852507374,1.0,1.0,1.0,0.7150725496002369,0.7017323400053855,0.7379075652249789,0.0,0.0,0.0,21696
L2-coarse,ECOSS_enhanced,168,2,0.9002613359859537,0.6308388359011983,0.592754367934224,0.6326306811258682,-0.03808446796697429,0.001791845224669908,0.566013986013986,0.532027972027972,0.5695104895104895,1.0,1.0,1.0,0.6308388359011983,0.592754367934224,0.6326306811258682,0.0,0.0,0.0,168
L2-coarse,MONISH,617,2,0.885667706854669,0.451067615658363,0.38716148445336007,0.46764452113891286,-0.06390613120500294,0.016576905480549853,0.43112244897959184,0.3282312925170068,0.4608843537414966,0.47294776119402987,0.4718826405867971,0.4746059544658494,0.451067615658363,0.38716148445336007,0.46764452113891286,0.04700162074554295,0.03727714748784441,0.04700162074554295,617
