interval,n_wavs,n_segments,n_cetacean_segs,n_uncertain_segs,model_positive,model_sp_any,model_sp_majority,model_pos_argmax,model_pos_vec,model_pos_pr,exp_positive,date,format,hydrophone,n_hydrophone_detections,source_file,exp_annotated,outcome
251008145000,2,94,47,4,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008145500,2,94,45,28,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251008150000,2,94,32,39,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008150500,2,94,12,44,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008151000,2,94,11,48,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008151500,2,94,32,54,True,"Ambig, Oo",Ambig,True,True,True,False,,,,,,False,FP
251008152000,2,94,32,58,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008152500,2,94,11,46,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008153000,2,94,14,49,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008153500,2,94,37,21,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008154000,2,94,0,22,False,,,True,True,False,False,,,,,,False,TN
251008154500,2,94,0,11,False,,,True,True,False,False,,,,,,False,TN
251008155000,2,94,0,13,False,,,True,True,False,False,,,,,,False,TN
251008155500,2,94,2,15,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008160000,2,94,1,7,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008160500,2,94,0,8,False,,,True,True,False,False,,,,,,False,TN
251008161000,2,94,1,10,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008161500,2,94,0,7,False,,,True,True,False,False,,,,,,False,TN
251008162000,2,94,0,6,False,,,True,True,False,False,,,,,,False,TN
251008162500,2,94,0,2,False,,,False,True,False,False,,,,,,False,TN
251008163000,2,94,0,4,False,,,True,True,False,False,,,,,,False,TN
251008163500,2,94,0,1,False,,,False,True,False,False,,,,,,False,TN
251008164000,2,94,0,8,False,,,True,True,False,False,,,,,,False,TN
251008164500,2,94,0,3,False,,,False,True,False,False,,,,,,False,TN
251008165000,2,94,0,11,False,,,True,True,False,False,,,,,,False,TN
251008165500,2,94,0,24,False,,,True,True,False,False,,,,,,False,TN
251008170000,2,94,0,8,False,,,True,True,False,False,,,,,,False,TN
251008170500,2,94,2,30,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008171000,2,94,0,3,False,,,False,True,False,False,,,,,,False,TN
251008171500,2,94,0,9,False,,,False,True,False,False,,,,,,False,TN
251008172000,2,94,0,4,False,,,False,True,False,False,,,,,,False,TN
251008172500,2,94,0,1,False,,,False,True,False,False,,,,,,False,TN
251008173000,2,94,0,2,False,,,False,True,False,False,,,,,,False,TN
251008173500,2,94,0,1,False,,,False,True,False,False,,,,,,False,TN
251008174000,2,94,0,2,False,,,True,True,False,False,,,,,,False,TN
251008174500,2,94,0,19,False,,,True,True,False,False,,,,,,False,TN
251008175000,2,94,0,0,False,,,False,False,False,False,,,,,,False,TN
251008175500,2,94,0,5,False,,,True,True,False,False,,,,,,False,TN
251008180000,2,94,0,46,False,,,True,True,False,False,,,,,,False,TN
251008180500,2,94,3,35,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008181000,2,94,1,24,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008181500,2,94,5,27,True,"Ambig, Oo, Tt",Tt,True,True,True,False,,,,,,False,FP
251008182000,2,94,2,39,True,"Oo, Tt",Oo,True,True,True,False,,,,,,False,FP
251008182500,2,94,0,48,False,,,True,True,False,False,,,,,,False,TN
251008183000,2,94,15,30,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008183500,2,94,1,6,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008184000,2,94,0,53,False,,,True,True,False,False,,,,,,False,TN
251008184500,2,94,0,12,False,,,True,True,False,False,,,,,,False,TN
251008185000,2,94,1,16,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008185500,2,94,0,41,False,,,True,True,False,False,,,,,,False,TN
251008190000,2,94,5,47,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008190500,2,94,2,4,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008191000,2,94,0,57,False,,,True,True,False,False,,,,,,False,TN
251008191500,2,94,1,55,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008192000,2,94,1,59,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008192500,2,94,22,37,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008193000,2,94,2,52,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008193500,2,94,37,34,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008194000,2,94,1,50,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008194500,2,94,3,46,True,"Ambig, Oo",Ambig,True,True,True,False,,,,,,False,FP
251008195000,2,94,5,58,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251008195500,2,94,36,45,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008200000,2,94,41,41,True,"Ambig, Oo",Ambig,True,True,True,False,,,,,,False,FP
251008200500,2,94,29,33,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008201000,2,94,30,21,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008201500,2,94,26,34,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008202000,2,94,15,28,True,"Ambig, Tt",Tt,True,True,True,False,,,,,,False,FP
251008202500,2,94,7,30,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251008203000,2,94,17,29,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008203500,2,94,14,33,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251008204000,2,94,9,31,True,Tt,Tt,True,True,True,False,,,,,,False,FP
251008204500,2,94,0,24,False,,,True,True,False,False,,,,,,False,TN
251008205000,2,94,1,33,True,Tt,Tt,True,True,True,False,,,,,,False,FP
251008205500,2,94,0,4,False,,,True,True,False,False,,,,,,False,TN
251008210000,2,94,11,28,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008210500,2,94,13,44,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008211000,2,94,14,30,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008211500,2,94,3,39,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008212000,2,94,3,48,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251008212500,2,94,21,29,True,"Ambig, Tt",Ambig,True,True,True,False,,,,,,False,FP
251008213000,2,94,15,28,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008213500,2,94,0,31,False,,,True,True,False,True,2025-10-08 21:35:00,interval_5min,H1,1.0,Datos_L4.xlsx,True,FN
251008214000,2,94,4,40,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008214500,2,94,1,27,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008215000,2,94,27,19,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008215500,2,94,23,25,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008220000,2,94,4,38,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008220500,2,94,2,36,True,Ambig,Ambig,True,True,True,True,2025-10-08 22:05:00,interval_5min,H2,1.0,Datos_L4.xlsx,True,TP
251008221000,2,94,10,36,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008221500,2,94,1,13,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008222000,2,94,0,7,False,,,True,True,False,False,,,,,,False,TN
251008222500,2,94,1,11,True,Oo,Oo,True,True,True,False,,,,,,False,FP
251008223000,2,94,32,10,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008223500,2,94,28,20,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008224000,2,94,5,35,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008224500,2,94,32,18,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008225000,2,94,15,25,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008225500,2,94,14,23,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008230000,2,94,43,4,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008230500,2,94,46,2,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008231000,2,94,29,18,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008231500,2,94,0,20,False,,,True,True,False,False,,,,,,False,TN
251008232000,2,94,30,36,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008232500,2,94,17,31,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008233000,2,94,5,23,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008233500,2,94,18,21,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008234000,2,94,38,10,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008234500,2,94,42,13,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
251008235000,2,94,2,44,True,Ambig,Ambig,True,True,True,False,,,,,,False,FP
