n_shots,classifier,trial,accuracy,macro_f1,roc_auc,time_s
4,Random Forest,4,0.8217550274223034,0.7877912872593756,0.9283652089046059,1.220078945159912
4,Random Forest,5,0.8692870201096892,0.8578483907186876,0.9309364210474734,1.2101213932037354
4,Random Forest,6,0.7748324192565509,0.7140654924251579,0.8608682868862668,1.24635648727417
4,Random Forest,7,0.746800731261426,0.676613171256259,0.8733686697198066,1.3097786903381348
4,Random Forest,8,0.8503960999390615,0.8294157667161406,0.9163942593345026,1.1878042221069336
4,Random Forest,9,0.8028641072516758,0.7595475069569673,0.9056175462309783,1.2260768413543701
4,SVM (RBF),0,0.6858622790981109,0.4994105346315527,0.11573701071321377,0.09030008316040039
4,SVM (RBF),1,0.7839731870810481,0.7264517400166626,0.9264916726048402,0.09303569793701172
4,SVM (RBF),2,0.7541133455210237,0.6812696102163203,0.89194865334474,0.0870048999786377
4,SVM (RBF),3,0.6657525898842169,0.448120367828397,0.11135739501683448,0.08097147941589355
4,SVM (RBF),4,0.7273004265691652,0.6127522461540409,0.9232613742396926,0.09206485748291016
4,SVM (RBF),5,0.8248019500304692,0.7930824417050362,0.9311324318198988,0.09097146987915039
4,SVM (RBF),6,0.7580743449116393,0.6798890504923446,0.8885290820774691,0.08797955513000488
4,SVM (RBF),7,0.65569774527727,0.4193140482202983,0.8528922818716578,0.09260320663452148
4,SVM (RBF),8,0.7970749542961609,0.7490292129402758,0.0909106129624374,0.08106613159179688
4,SVM (RBF),9,0.7794028031687995,0.7177400655328918,0.9043199957530998,0.0911858081817627
4,Nearest Centroid,0,0.8592321755027422,0.8417084766146157,0.9160034628569794,0.21972417831420898
4,Nearest Centroid,1,0.8726386349786716,0.8630602609277209,0.9001602796420354,0.2167201042175293
4,Nearest Centroid,2,0.8180987202925045,0.81379427728502,0.8648442428981826,0.2152702808380127
4,Nearest Centroid,3,0.8129189518586228,0.7850371223758321,0.8897547619387914,0.2033100128173828
4,Nearest Centroid,4,0.8574040219378428,0.842025690150765,0.8810978236678925,0.2036762237548828
4,Nearest Centroid,5,0.858622790981109,0.852512953618781,0.8956454981838377,0.19917917251586914
4,Nearest Centroid,6,0.8519195612431444,0.8351777666085795,0.8799276801920906,0.21029877662658691
4,Nearest Centroid,7,0.8217550274223034,0.8144080563628341,0.8733721407439018,0.20595407485961914
4,Nearest Centroid,8,0.852224253503961,0.8441961380312375,0.8836872076427867,0.20402169227600098
4,Nearest Centroid,9,0.8577087141986593,0.8476579820343658,0.899723543139725,0.2153019905090332
16,Logistic Regression,0,0.8505217925107428,0.8339585607494064,0.9328749749848873,0.06750369071960449
16,Logistic Regression,1,0.872621240024555,0.864251131240573,0.9381982738225703,0.06625175476074219
16,Logistic Regression,2,0.8667894413750767,0.8612673546790914,0.9399347266112321,0.06685209274291992
16,Logistic Regression,3,0.8750767341927563,0.8653655992792726,0.9350833484908687,0.06590700149536133
16,Logistic Regression,4,0.860036832412523,0.8468503276282731,0.9307130063255606,0.06539416313171387
16,Logistic Regression,5,0.8627992633517495,0.8547490468793246,0.932772635724854,0.06754946708679199
16,Logistic Regression,6,0.8575813382443217,0.8428989909949007,0.927833419859037,0.1002340316772461
16,Logistic Regression,7,0.8480662983425414,0.8381351989774488,0.9228096808796701,0.06521463394165039
16,Logistic Regression,8,0.8535911602209945,0.8419841634997902,0.9233764829352392,0.06631708145141602
16,Logistic Regression,9,0.8370165745856354,0.8233238339997846,0.9056361586565134,0.06637716293334961
16,Decision Tree,0,0.7977286678944138,0.7593554243612084,0.745021733627065,0.0281524658203125
16,Decision Tree,1,0.8189073050951504,0.8053441004949486,0.8130734054238151,0.02436208724975586
16,Decision Tree,2,0.6933701657458563,0.6777634715199038,0.689563798584735,0.027443408966064453
16,Decision Tree,3,0.7894413750767342,0.7630123361489245,0.7575317759259114,0.02830052375793457
16,Decision Tree,4,0.7833026396562308,0.7531902930623037,0.7457068266087048,0.027943134307861328
16,Decision Tree,5,0.7719459791282995,0.7461265775099284,0.7432699506658473,0.029397964477539062
16,Decision Tree,6,0.8004910988336402,0.7717559861645995,0.7627780095718282,0.027864456176757812
16,Decision Tree,7,0.8213627992633518,0.7962399476972926,0.7869441621252756,0.029923439025878906
16,Decision Tree,8,0.7636586863106201,0.7350845816704796,0.7310114060627103,0.02877330780029297
16,Decision Tree,9,0.7038060159607121,0.6791590703484127,0.6821568392664553,0.02844405174255371
16,Random Forest,0,0.8428483732351135,0.8165275817527162,0.9412817101511846,1.327927589416504
16,Random Forest,1,0.8588090853284224,0.8451383306088117,0.9317662306130288,1.2076654434204102
16,Random Forest,2,0.8815224063842848,0.8726931486880467,0.9450670197854523,1.2502975463867188
16,Random Forest,3,0.8683241252302025,0.8525041222236,0.9413546320530706,1.2347133159637451
16,Random Forest,4,0.8572744014732965,0.8375600543793229,0.9354541729351189,1.3000712394714355
16,Random Forest,5,0.8680171884591774,0.854946324735351,0.9405955813470745,1.2453739643096924
16,Random Forest,6,0.8351749539594844,0.8082420959075588,0.9290070067175158,1.1972391605377197
16,Random Forest,7,0.8695518723143032,0.8568926401796353,0.9333228646209034,1.183802604675293
16,Random Forest,8,0.8529772866789441,0.8329934340599512,0.939603884914323,1.3431501388549805
16,Random Forest,9,0.8284223449969307,0.8002790926691841,0.9236366815396962,1.2236969470977783
16,SVM (RBF),0,0.8750767341927563,0.8612343618583336,0.945335919298657,0.17922401428222656
16,SVM (RBF),1,0.85451197053407,0.837792087095061,0.930969890298114,0.17435765266418457
16,SVM (RBF),2,0.8756906077348067,0.8693635695350961,0.9386451276361165,0.18090295791625977
16,SVM (RBF),3,0.8443830570902394,0.8243201203782495,0.9342145006030558,0.18356037139892578
16,SVM (RBF),4,0.8376304481276857,0.8104871471337738,0.9326143620514422,0.17341279983520508
