n_shots,classifier,trial,accuracy,macro_f1,roc_auc,time_s
4,Nearest Centroid,1,0.6583904109589042,0.6090569201955072,0.7733348668676827,0.06448984146118164
4,Nearest Centroid,2,0.535958904109589,0.5195032484872673,0.6874583109465587,0.062477827072143555
4,Nearest Centroid,3,0.5,0.46501580950162164,0.7103325263526324,0.06866168975830078
4,Nearest Centroid,4,0.6977739726027398,0.6253645427657878,0.7784395492430058,0.0642404556274414
4,Nearest Centroid,5,0.5256849315068494,0.4909322781520275,0.7254245961849597,0.06592297554016113
4,Nearest Centroid,6,0.6095890410958904,0.547861694556168,0.751301253538483,0.0655214786529541
4,Nearest Centroid,7,0.660958904109589,0.5795580418529873,0.770944221375328,0.06667566299438477
4,Nearest Centroid,8,0.6857876712328768,0.6084270897350091,0.7711049214779484,0.06653261184692383
4,Nearest Centroid,9,0.6070205479452054,0.5598389889488526,0.7432759713763948,0.06134915351867676
8,Logistic Regression,0,0.7145328719723183,0.6662657573499959,0.8033324298061009,0.055696725845336914
8,Logistic Regression,1,0.5657439446366782,0.549576539767916,0.7377854943042116,0.0613255500793457
8,Logistic Regression,2,0.5752595155709342,0.5537071775949567,0.7282269975360584,0.054001569747924805
8,Logistic Regression,3,0.4671280276816609,0.48202207964716176,0.6896348530287713,0.04406142234802246
8,Logistic Regression,4,0.5536332179930796,0.5256054979976593,0.7013984160555342,0.06281733512878418
8,Logistic Regression,5,0.5173010380622838,0.5074061857237622,0.7567134819301186,0.0507659912109375
8,Logistic Regression,6,0.615916955017301,0.6026929978106754,0.8024654792097825,0.03916287422180176
8,Logistic Regression,7,0.6660899653979239,0.6175148411892337,0.7954927579190509,0.05371522903442383
8,Logistic Regression,8,0.6946366782006921,0.6533825295948993,0.8189313713034446,0.057442665100097656
8,Logistic Regression,9,0.6314878892733564,0.5995773897645112,0.7982529300859994,0.06022167205810547
8,Decision Tree,0,0.6245674740484429,0.5406774972147219,0.6760224117135564,0.023304224014282227
8,Decision Tree,1,0.4083044982698962,0.3913341932526797,0.549455134498331,0.028481245040893555
8,Decision Tree,2,0.45588235294117646,0.46845948853303393,0.6062289042850598,0.0254058837890625
8,Decision Tree,3,0.3460207612456747,0.3232876833998391,0.48627668228100196,0.02725505828857422
8,Decision Tree,4,0.3745674740484429,0.3732865639791769,0.519432601236057,0.025337934494018555
