deployment_id,wav_path,reason
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528115958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528120958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528121958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528122958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528123958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124758.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124858.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528124958.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125058.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125158.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125258.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125358.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125458.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125558.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125658.wav,serial_mismatch_6335_expected_6338
ARBAS_2024-05-28,D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6335\6335.240528125758.wav,serial_mismatch_6335_expected_6338
